"","stop_name","stop_lat","stop_lon","stop_area"
"2164","Keskturg",59.4328812679851,24.7699586580247,"Kesklinn"
"2165","Keskturg",59.4332601609118,24.7688713638073,"Kesklinn"
"2184","Keskturg",59.431807994249,24.7678613663121,"Kesklinn"
"2185","Keskturg",59.4318843822835,24.7676897049351,"Kesklinn"
"2186","Autobussijaam",59.4284194658327,24.7764229774881,"Kesklinn"
"2187","Autobussijaam",59.4276428492301,24.7776665711325,"Kesklinn"
"2188","Autobussijaam",59.4279185904889,24.77733698949,"Kesklinn"
"2189","Keskturg",59.4316100016587,24.7676400000401,"Kesklinn"
"2190","Keskturg",59.4318444633972,24.7676490120336,"Kesklinn"
"2299","Pühamägi",59.4116044885945,24.801784533494,"Kesklinn"
"2333","Peterburi tee",59.4241497086253,24.7876704862063,"Kesklinn"
"2394","Reisisadam D-terminal",59.4430623162074,24.7666540310609,"Kesklinn"
"2397","Reisisadam",59.4445497683199,24.7601499188466,"Kesklinn"
"2437","Juhkentali",59.4212600016588,24.7692400000402,"Kesklinn"
"2444","Veskiposti",59.4208397068971,24.7644128246743,"Kesklinn"
"2470","Paberi",59.4338103950284,24.7619390488069,"Kesklinn"
"2471","Hotell Tallinn",59.4352436003593,24.7327394399094,"Kesklinn"
"2473","Uus Maailm",59.4266700016588,24.7416800000387,"Kesklinn"
"2505","Kaubamaja",59.4345370280528,24.7560976722927,"Kesklinn"
"5795","Hobujaama",59.4372583933305,24.7578835487762,"Kesklinn"
"7336","Viru",59.4355835393048,24.750008583108,"Kesklinn"
"11782","Hotell tallink",59.4365888072665,24.7576372084311,"Kesklinn"
"11783","Hotell tallink",59.4365214978399,24.7572129385128,"Kesklinn"
"11784","Tallinna bussijaam",59.4271189253591,24.7737417632833,"Kesklinn"
"11785","Tallinna sadama a-Term.",59.4447071983789,24.7619249658271,"Kesklinn"
"11786","Tallinna reisisadam",59.4446976199569,24.7612683116827,"Kesklinn"
"11819","Tallinna sadama d-Term.",59.4433411245699,24.7669180776767,"Kesklinn"
"12011","Tallinn-Väike",59.4128799058175,24.7459536752113,"Kesklinn"
"12118","Tallinn-Väike",59.4131162536161,24.7462251977082,"Kesklinn"
"13051","Kitseküla",59.4203897892287,24.7386610353312,"Kesklinn"
"13052","Kitseküla",59.4199503569539,24.7401817967023,"Kesklinn"
"13488","Kosmos",59.4289924292525,24.7431421280295,"Kesklinn"
"13604","Tallinn-Väike",59.4143324294813,24.7384858131794,"Kesklinn"
"13869","Veskiposti",59.4212200016588,24.7639500000399,"Kesklinn"
"13944","Viru",59.4363036821402,24.7522616386807,"Kesklinn"
"14335","Patareisadam",59.448126351083,24.7524484982384,"Kesklinn"
"14460","Kalasadam",59.4478487349995,24.749971032047,"Kesklinn"
"14568","Tornimäe",59.4330032668633,24.7621045204714,"Kesklinn"
"14603","Renniotsa",59.4144900016587,24.7605700000397,"Kesklinn"
"14604","Renniotsa",59.4129600016587,24.7579400000396,"Kesklinn"
"14605","Varre",59.4191906903483,24.7541284561551,"Kesklinn"
"14606","Veerenni põik",59.4174900016587,24.7584100000396,"Kesklinn"
"14607","Veerenni põik",59.4177600016587,24.7596300000397,"Kesklinn"
"14608","Veduri",59.4161600016588,24.7539600000394,"Kesklinn"
"14609","Veduri",59.4166900016587,24.7532100000393,"Kesklinn"
"14867","Kanali tee",59.4082100016587,24.8079900000422,"Kesklinn"
"14868","Kanali tee",59.4083407576984,24.8062895661784,"Kesklinn"
"15098","Kalev",59.4096591074743,24.7370052338031,"Kesklinn"
"15099","Kosmos",59.4281739071121,24.742691516915,"Kesklinn"
"15270","Pronksi",59.4371131780359,24.7615837841272,"Kesklinn"
"15300","Oruvärava",59.4432600016588,24.8056600000421,"Kesklinn"
"15301","F. R. Kreutzwaldi",59.4383908381605,24.7703361725574,"Kesklinn"
"15425","Varre",59.4190600016587,24.7541200000394,"Kesklinn"
"15426","Viadukti",59.4175859037419,24.7595357895294,"Kesklinn"
"15430","Kanali tee",59.4077754016741,24.8064851761285,"Kesklinn"
"15465","Viadukti",59.4176300016588,24.7588800000396,"Kesklinn"
"15469","Veduri",59.4166500016587,24.7531600000393,"Kesklinn"
"16026","Kanuti",59.4408315018283,24.7533345222867,"Kesklinn"
"16027","Kanuti",59.4410006014274,24.7532272339261,"Kesklinn"
"16038","Gonsiori",59.4334230188354,24.7678184509679,"Kesklinn"
"16045","Laulupeo",59.4309022372677,24.7759079933572,"Kesklinn"
"16046","Laulupeo",59.4309895402012,24.7760796547342,"Kesklinn"
"16047","Gonsiori",59.4333248100819,24.7677111626073,"Kesklinn"
